epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2118.08,2.42346,1.59043,0.00364,0.32409,0.23211,0.21608,0.11183,2.34399,1.57467,0.00452,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2182.8,2.41651,1.58768,0.00365,0.32599,0.2322,0.21717,0.11288,2.35288,1.57601,0.00456,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2247.76,2.41581,1.58503,0.00363,0.33192,0.2401,0.22122,0.11332,2.34078,1.57332,0.00452,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2312.73,2.40971,1.57693,0.0036,0.32593,0.23318,0.21615,0.11256,2.35108,1.57762,0.00451,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2377.78,2.39819,1.56823,0.00362,0.32388,0.22889,0.21069,0.10874,2.36347,1.58527,0.00452,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2442.97,2.3929,1.56878,0.00359,0.31421,0.236,0.21458,0.11003,2.36029,1.58841,0.00449,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2508.22,2.39648,1.5655,0.00359,0.3246,0.24227,0.21788,0.11366,2.36751,1.57481,0.00453,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2573.41,2.39136,1.55473,0.00355,0.32634,0.23888,0.22096,0.11474,2.33657,1.5644,0.00448,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2638.27,2.38953,1.55809,0.00358,0.32322,0.23856,0.21857,0.11315,2.34891,1.569,0.00448,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2702.87,2.38041,1.55223,0.00356,0.3397,0.24194,0.2249,0.11852,2.33222,1.56027,0.00444,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2767.8,2.37703,1.55005,0.00356,0.34268,0.24097,0.22433,0.11845,2.3168,1.55043,0.00441,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2833.11,2.38616,1.55425,0.00353,0.34395,0.23713,0.22205,0.11544,2.35254,1.56209,0.00446,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2898.59,2.37176,1.5413,0.00352,0.31464,0.24719,0.22354,0.11715,2.32668,1.55369,0.00445,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2963.85,2.37009,1.53823,0.00352,0.32823,0.24049,0.22036,0.11408,2.34823,1.55918,0.00446,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
